CODE,DESC,SHORTDESC,FINE
P001,PARK ABREAST OF ANOTHER VEHICLE,ABREAST,50.0
P002,STAND OR PARK IN ALLEY,ALLEY IN,30.0
P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,RESIDENTIAL PARKING,30.0
P004,PARK VEHICLE IN FRONT OF A BARRICADE,BARRICADE IN FRT OF,20.0
P005,PARK ON OR UNDER AN ELEVATED STRUCTURE,ON BRIDGE/IN TUNNEL,50.0
P006,PARK ON BRIDLE PATH (PARK AREA),BRIDLE PATH ON,20.0
P007,PARK IN A BUS ZONE,PARK IN BUS ZONE,100.0
P008,IN VIOLATION OF PEDESTRIAN CONTROL REGULATION,PEDSTR CONTROL REGUL,5.0
P010,OBSTRUCTING CROSSWALK,CROSSWALKOBSTRUCTNG,50.0
P011,PARK MORE THAN 12 INCHES FROM CURB,CURB MORE THAN 1 FT,20.0
P012,DISOBEYING OFFICIAL SIGN,DISOBYNG OFFICL SIGN,30.0
P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,DRIVEWAY WITHIN 5 FT,20.0
P014,EMERGENCY NO PARKING,EMERGENCY NO PARKING,50.0
P015,OBSTRUCTING ENTRANCE OF PKG GARAGE DOOR OR GATE,ENTRANCE OBSTRUCTIN,20.0
P016,OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC,EXCAVATION OPPOSITE,50.0
P017,EXCESSIVE IDLING.,EXCESSIVE IDLING,500.0
P018,OBSTRUCTING FIRE ESCAPE,FIRE ESCAPEOBSTCTNG,50.0
P019,PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE,PK W/IN 20FT STATION,50.0
P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,FIRE HYDRANT 10FT,50.0
P022,PARK ON TAXICAB STAND,TAXICAB STAND ON,20.0
P023,OBSTRUCT AN INTERSECTION,INTERSECTIONOBSTRTN,50.0
P024,PARK LESS THAN 25 FEET FROM AN INTERSECTION,INTERSECTIONLT 25FT,20.0
P025,PARK LESS THAN 40 FEET FROM AN INTERSECTION,INTERSECTN LT 40FT,20.0
P026,PARK ON A LAWN,LAWN ON,20.0
P029,PARK WITH LEFT WHEEL TO THE CURB,LEFT WHEEL TO CURB,20.0
P031,UNAUTHORIZED VEHICLE IN LOADING ZONE,LOADING ZONE,100.0
P032,OVERSIZED COMM VEHICLE PARKED AT A METER,OVRSZD VEH AT METER,25.0
P033,DEPOSIT PAYMENT TO EXTEND TIME BEYOND METER LIMIT,MTR PAY >TIME LMT,15.0
P034,FAIL TO DEPOSIT COIN IN METER,METER FAIL DEP COIN,15.0
P035,NOT PARKED IN A METER SPACE,NOT PKD IN MTR SPACE,25.0
P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,OFFICIAL SPACE IN,25.0
P037,PARK OVERTIME AT A METER,OVERTIME AT METER,25.0
P039,PARK AT EXPIRED METER,EXPIRED METER,25.0
P040,FAIL TO PARK PARALLEL,PARALLEL FAIL PARK,20.0
P042,PARK ON PUBLIC SPACE,PUBLIC SPACE,20.0
P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET,REDUCE RDWAY LT10 FT,25.0
P045,PARK IN RESERVED EMBASSY SPACE,RESERVED SPACE EMBSY,20.0
P046,PARK IN SCHOOL ZONE,SCHOOL ZONE,25.0
P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,SIDEWALK ON,100.0
P048,PARK ON SIGHTSEEING STAND,SIGHTSEEING STAND ON,20.0
P050,PARKED WITHIN 25 FEET OF A STOP SIGN,STOP SIGN IN 25 FT,50.0
P053,PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE,VEHICLE/3FT/VEHICLE,20.0
P054,PARKED ON DESIGNATED VENDOR AREA,VENDOR STAND ON,20.0
P055,NO PARKING ANYTIME,NO PARKING ANYTIME,30.0
P056,NO PARKING 7 AM TO 6:30 PM,NO PKING 7AM-630PM,30.0
P057,NO PARKING SPECIFIC HOURS,NO PARKING SPEC HRS,30.0
P058,NO STANDING COMMERCIAL VEHICLE,NO STAND COMM VEHICL,500.0
P059,PARK IN A FIRE LANE,FIRE LANE OBSTRUCT,50.0
P063,PARK FOR PURPOSE OF VEHICLE SALE OR REPAIR,ADVERTISING USE VEH,20.0
P072,FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD,IGNITION FAIL/LOCK,50.0
P077,MOTOR RUNNING UNATTENDED,MOTOR RUN UNATTENDED,50.0
P082,FAIL TO CHANGE ADDRESS OF VEHICLE REGISTRATION,REG FAIL TO CHG ADDR,10.0
P085,DEFECTIVE SPEEDOMETER.,SPEEDOMETER DEFECTIV,25.0
P086,NO SPEEDOMETER.,SPEEDOMETER NONE,25.0
P087,MACHINE RESTRCTD HRS,MACHINE RESTRCTD HRS,10.0
P090,IMPROPERLY DISPLAYED TAGS,TAGS IMPROPER,10.0
P093,OBSTRUCTED TAGS.,TAGS OBSTRUCTED,50.0
P095,DRIVE TRUCK ON RESTRICTED ROUTE,TRUCK ROUTE VIOLATIO,5.0
P097,PARKING MISC,PARKING MISC,5.0
P100,GLASS LEFT IN THE STREET,GLASS LEFT IN ST,25.0
P101,INCORRECT BUMPER ON A VENDING VEHICLE,BUMPER BAD/VEND VEHI,25.0
P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS,FAIL DISP 2 DC TAGS,100.0
P106,DEFECTIVE MUFFLER.,MUFFLER DEFECTIVE.,15.0
P107,EXCESSIVE SMOKE.,SMOKE EXCESSIVE,15.0
P108,LOW HORN VOLUME OR NO NOISE FROM HORN,HORN LOW OR NONE,10.0
P109,UNSAFE MECHANICAL CONDITION,MECANICL COND UNSAFE,25.0
P110,FAIL TO PROPERLY DISPLAY INSPECTION STICKER SIGN,INSPECT STICKER SIGN,25.0
P111,EXPIRED INSPECTION REJECTION STICKER,EXP INSP REJECT STIK,50.0
P112,FAIL TO REPORT FOR INSPECTION.,INSPECT FAIL TO REPT,50.0
P113,FAIL TO DISPLAY CURRENT INSPECTION STICKER,INSPCT CURR DISP STK,50.0
P115,TAXICAB FAIL TO USE CRUISING LIGHTS,TAXI CRUISING LIGHT,5.0
P116,DIRTY TAXICAB.,TAXI DIRTY,10.0
P117,TAXICAB FAIL TO UPDATE CHANGE OF ADDRESS,TAXI ID NO CHG ADDR,5.0
P118,TAXICAB FAIL TO SHOW ID,TAXI ID FAIL TO SHOW,25.0
P119,TAXICAB FAIL TO REMOVE ID,TAXI ID FAIL REMOVE,10.0
P120,TAXICAB LOITERING.,TAXI LOITERING,25.0
P121,TAXICAB NO MANIFEST,TAXI MANIFEST NONE,10.0
P122,DRIVER MORE THAN FIVE FEET FROM TAXI,DRIVER 5FT FROM TAXI,25.0
P123,TAXICAB PARKED OFF TAXI STAND,TAXI PARKED OFF STND,25.0
P124,TAXICAB FAIL TO FILE OR IMPROPER REPORT,TAXI PROP NO REPORT,25.0
P125,TAXICAB SOLICITING FARE,TAXI SOLICITING FARE,25.0
P126,TAXICAB NO ZONE RATE CARD,TAXI NO ZONE RATE CD,5.0
P127,TAXICAB FAIL TO PULL TO CURB,TAXI NO PULL TO CURB,50.0
P128,TAXICAB NO INSURANCE STICKER,TAXI NO INS STICKER,5.0
P129,TAXICAB REFUSE TO HAUL PASSENGERS,TAXI NO HAUL PASSENG,10.0
P130,TAXICAB UNLICENSED DC RESIDENT,TAXI UNLIC DC RES,50.0
P133,TAXICAB NOT USING OFF DUTY SIGN,SIGN NO USE OFF DUTY,5.0
P134,TAXICAB IMPROPER USE OF OFF DUTY SIGN,SIGN IMP USE OFF DTY,100.0
P135,TAXICAB IMPROPER USE OF ON CALL SIGN,SIGN IMP USE ON CALL,100.0
P136,TAXICAB IMPROPER USE OF OUT OF SERVICE SIGN,SIGN IMP USE OUT SER,5.0
P137,TAXICAB DISPLAY UNAUTHORIZED SIGN,SIGN UNAUTHIZED SIGN,5.0
P140,TORN FENDERS,FENDERS TORN,25.0
P145,LENGTH OVER 40 FEET / 55 FEET,LENGTH OVR 40'/55',250.0
P146,USE OF HIGH BEAM LIGHTS,LIGHTS USE HIGH BEAM,5.0
P147,USE OF IMPROPER LIGHTS,LIGHTS IMPROPER,5.0
P148,NO REAR LIGHTS.,LIGHTS NO REAR,5.0
P150,ONE RUNNING HEAD LIGHT,LIGHTS ONE RUNNING,5.0
P151,LOADS NOT SECURED,LOADS NOT SECURED,50.0
P152,NO REAR VIEW MIRROR,MIRROR NO REAR VIEW,15.0
P153,NO OR DISCONNECTED MUFFLER,MUFFLER NONE,25.0
P157,MAKING NON EMERGENCY REPAIRS ON ROADWAY,REPAIRS ON ROADWAY,100.0
P158,UNSAFE TIRES,TIRES UNSAFE,25.0
P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,STOP/STND IN AM RUSH,100.0
P160,FAILURE TO TRANSFER TITLE AS REQUIRED,TITLE DC N/TRANSFER,25.0
P161,PARKING ON SNOW EMERGENCY ROUTE WHEN PROHIBITED,SNOW REGULATION,250.0
P168,NO FRONT TAGS.,NO TAGS FRONT.,50.0
P169,NO REAR TAGS.,NO TAGS REAR,50.0
P170,FAILURE TO DISPLAY CURRENT TAGS,FAIL DISP CURR TAGS,100.0
P172,FAILURE TO SECURE DC TAGS,FAIL SECURE DC TAGS,100.0
P173,NO PARKING STREET CLEANING,NO PKG STREET CLNING,45.0
P176,LOAD EXTENDS OVER FENDER,LOAD EXTEND OVR FEND,5.0
P180,BICYCLE MT/VIOL/PUBL,BICYCLE MT/VIOL/PUBL,5.0
P190,FAIL TO REGISTER APPORTIONABLE VEHICLE UNDER IRP,FAILURE REG UNDR IRP,500.0
P191,FAIL TO OBTAIN IRP TRIP PERMIT,FAIL OB IRP TRIP PMT,500.0
P192,EXCEED GROSS WEIGHT INDICATED ON IRP REGISTRATION,EXCEED IRP REGIST GW,500.0
P193,FORGED TEMPORARY PARKING PLACARD,FAKE TEMP PLACARD,300.0
P194,FORGED VISITOR PARKING PLACARD,FAKE VISITOR PLACARD,300.0
P195,PROVIDE FALSE INFORMATION TO OBTAIN RPP PERMIT,FALSE RPP APPL,300.0
P196,PROVIDE FALSE INFO TO OBTAIN TEMP PARKING PLACARD,FALSE TEMP APPL,300.0
P197,PROVIDE FALSE INFO TO OBTAIN VISITOR PARKING PERM,FALSE VISITOR APPL,300.0
P198,PARK WITHIN 20 FEET OF A BUS STOP OR ZONE,BUS STOP IN 20' OF,50.0
P199,PARK IN A DESIGNATED ENTRANCE,ENTRANCE DESIGNATED,20.0
P200,PARK TOO CLOSE APPROACHING INTERSECTION,PARK APPROACH INTERS,20.0
P201,PARK IN A CURB LOADING ZONE,LOAD PLATFORM CURB,10.0
P202,TAXICAB FAIL TO CHARGE PROPER FARE,TAXI FAIL PROP FARE,10.0
P203,TAXICAB FAIL TO DISPLAY LICENSE,TAXI FAIL DISP LIC,100.0
P204,TAXICAB FAIL TO DISPLAY RATE CARD,TAXI FAIL DISP RATE,10.0
P205,TAXICAB FAIL TO EXHIBIT LICENSE,TAXI FAIL EXHIB LIC,100.0
P206,TAXICAB DISPLAYING IMPROPER INSIGNIA,TAXI INPROP INSIGNA,50.0
P207,TAXICAB FAIL TO REPORT AN ACCIDENT,TAXI FAIL RPT ACDENT,25.0
P208,TAXICAB FAKE LICENSE,TAXI FAKE LICENSE,1000.0
P209,TAXICAB LOADING PASSENGERS IN A CROSSWALK,TAXI LOAD PASS XWALK,10.0
P210,TAXICAB PARKED 100 FEET FROM STAND,TAXI PARK 100' STAND,25.0
P211,TAXICAB REFUSE TO PAY FARE,TAXI REFUSE PAY FARE,10.0
P212,TAXICAB FAIL TO HAVE DC TAXICAB COMMISSION LICENSE,FAIL HAVE DCTC LICN,500.0
P213,METER BALL PARK EVENT DEPOSIT ADDITONAL PAYMENT,MTR DEP ADD PAYMT,30.0
P214,ILLEGAL AT METER BALL PARK EVENT,ILLEGAL AT METER BE,50.0
