accidentindicator	address_id	agencyid	fineamt	location	objectid	penalty1	penalty2	row_	streetsegid	ticketissuedate	tickettype	totalpaid	violationcode	violationdesc	xcoord	y	ycoord	filename	﻿x
False		25.0	100.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	456614			3058173	6364.0	2014-05-08T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_May_2014.csv	-77.0140367592
False	150671.0	25.0	100.0	3300 BLK. E. CAPITOL ST. NE W/B	567251	100.0		792676	4592.0	2010-01-01T00:00:00.000Z	Photo	200.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	403468.69	38.890105241	135806.8	Moving_Violations_in_January_2010.csv	-76.9600200922
False	805065.0	25.0	200.0	2200 BLOCK K ST NW E/B	1484294			3926174	4361.0	2015-08-29T00:00:00.000Z	Photo	200.0	T121	SPEED 21-25 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_August_2015.csv	-77.0499797097
False		25.0	125.0	DC295 SW .7 MILES S/O EXIT 1 S/B	3456513			2357038	6993.0	2012-07-20T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_July_2012.csv	-77.018353403
False		25.0	100.0	SUITLAND PKWY W/B @ STANTON RD SE	1663004			2955176	3557.0	2014-02-22T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401449.3426	38.8533051238	131721.086	Moving_Violations_in_February_2014.csv	-76.9833049061
False	74591.0	25.0	125.0	1100 BLK BLADENSBURG RD NE SW/B	2459085	125.0		2601697	1489.0	2012-09-12T00:00:00.000Z	Photo	250.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401644.78	38.9041776464	137368.36	Moving_Violations_in_September_2012.csv	-76.9810398283
False	805065.0	25.0	125.0	2200 BLK K ST NW W/B	2239712			2639689	4361.0	2012-09-22T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_September_2012.csv	-77.0499797097
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	1661926	50.0		89672	14746.0	2009-02-13T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_February_2009.csv	-76.994976553
False	903709.0	25.0	150.0	E CAPITOL ST W/B @ SOUTHERN AVE NE	1834607			3520098	3664.0	2015-03-26T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	407514.302757	38.8897577145	135771.026811	Moving_Violations_in_March_2015.csv	-76.9133883573
False	805468.0	25.0	125.0	2800 BLK BENNING ROAD NE E/B	1230706			1519126	4693.0	2010-12-29T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403046.72	38.897306834	136606.06	Moving_Violations_in_December_2010.csv	-76.9648804257
False	812484.0	25.0	125.0	600 BLK MISSOURI AVE NW NW/B	2315438			2013229	10729.0	2012-03-17T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398103.155	38.9589778688	143451.715	Moving_Violations_in_March_2012.csv	-77.0218875811
False	807090.0	25.0	100.0	4700 BLK MACARTHUR BLVD NW S/B	2027489			3124147	6074.0	2014-06-17T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	392000.5	38.9139016062	138451.67	Moving_Violations_in_June_2014.csv	-77.0922400725
False	811511.0	25.0	125.0	4200 BLK SOUTH DAKOTA AVE NE N/B	793787			2390574	9879.0	2012-08-01T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401528.63	38.9416450899	141527.54	Moving_Violations_in_August_2012.csv	-76.982369647
False		25.0	50.0	SE/SW FRWY @ 9TH STREET ENTRANCE SE	99986			61313	14746.0	2009-01-30T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_January_2009.csv	-76.994976553
False	301049.0	25.0	125.0	3400 BLK BENNING ROAD NE W/B	2731586			1360296	6467.0	2010-09-30T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	404151.99	38.8969859353	136570.94	Moving_Violations_in_September_2010.csv	-76.9521393524
False	801471.0	25.0	50.0	2400 BLK SHERMAN AV NW SB	2257327			696445	1087.0	2009-11-09T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	397802.41	38.9222995016	139380.17	Moving_Violations_in_November_2009.csv	-77.0253444537
False	807090.0	25.0	125.0	4700 BLK MACARTHUR BLVD NW S/B	3680673	125.0		1633396	6074.0	2011-07-13T00:00:00.000Z	Photo	250.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	392000.5	38.9139016062	138451.67	Moving_Violations_in_July_2011.csv	-77.0922400725
False	288753.0	25.0	50.0	600 BLK NEW YORK AVENUE NE W/B	2657569	50.0		129857	14658.0	2009-03-01T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400381.05	38.9123322866	138273.43	Moving_Violations_in_March_2009.csv	-76.995608706
False	806307.0	25.0	100.0	1100 11TH ST SE	2373376			359810	5422.0	2009-06-19T00:00:00.000Z	Moving	100.0	T591	DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE	400734.716639	38.8768690989	134336.761306	Moving_Violations_in_June_2009.csv	-76.9915350709
False		25.0	100.0	DC295 SW .3 MILES S/O EXIT 1 N/B	3031824	100.0		2787912	14688.0	2012-11-13T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398502.31	38.8206668992	128098.0299	Moving_Violations_in_November_2012.csv	-77.0172487613
False		25.0	100.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	2444089	100.0		161318	14746.0	2009-03-16T00:00:00.000Z	Photo	0.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_March_2009.csv	-76.994976553
False		25.0	100.0	DC295 SW .7 MILES S/O EXIT 1 S/B	2351117			3490043	6993.0	2015-03-08T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_March_2015.csv	-77.018353403
	801005.0			1800 BLOCK HARVARD ST NW NORTH SIDE	1072501			1356935	847.0	2014-07-25T00:00:00.000Z			P112	FAIL TO REPORT FOR INSPECTION.	396337.0	38.9273917913	139946.0	Moving_Violations_in_July_2014.csv	-77.0422462869
	804481.0			1400 BLOCK M ST NW NORTH SIDE	6245273			1398289	3864.0	2014-07-15T00:00:00.000Z			P307	PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY	397350.0	38.9056583238	137533.0	Moving_Violations_in_July_2014.csv	-77.0305544251
False	805065.0	25.0	100.0	2200 BLOCK K ST NW E/B	2915474			3968306	4361.0	2015-09-13T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	395664.92	38.9025337467	137186.89	Moving_Violations_in_September_2015.csv	-77.0499797097
False		25.0	125.0	DC295 SW .7 MILES S/O EXIT 1 S/B	1935776			1901271	6993.0	2012-02-05T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_February_2012.csv	-77.018353403
False	285676.0	13.0	25.0	700 14 ST NW	968843	25.0		656448	91.0	2009-10-22T00:00:00.000Z	Moving	50.0	T183	TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED	397205.43	38.8985814518	136747.46	Moving_Violations_in_October_2009.csv	-77.0322179919
