x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-77.0364991351	38.9197636787	11161475	7752441	False	P055	NO PARKING ANYTIME	2300 BLOCK 16TH ST NW WEST SIDE	MD	UT	808033	6882.0	396835	139099	Parking_Violations_in_March_2011.csv	2011-03-20T01:59:00.000Z
-77.0724674921	38.9330251712	13261615	5081906	False	P039	PARK AT EXPIRED METER	3200 BLOCK WISCONSIN AV NW WEST SID	DC	2D	803107	2533.0	393717	140573	Parking_Violations_in_March_2012.csv	2012-03-08T17:33:00.000Z
-77.0348178075	38.9007655938	5352428	8989298	False	P012	DISOBEYING OFFICIAL SIGN	800 VERMONT AVE NW BLOCK EAST SIDE	DC		812519	10761.0	396980	136990	Parking_Violations_in_January_2014.csv	2014-01-26T14:27:00.000Z
-77.0348297361	38.9015853509	7395261	13994264	False	P037	PARK OVERTIME AT A METER	900 15TH ST NW EAST SIDE	VA	UT	279976	7180.0	396979	137081	Parking_Violations_in_November_2015.csv	2015-11-05T14:10:00.000Z
-77.0224295221	38.9155783522	8628621	9452516	False	P039	PARK AT EXPIRED METER	0800 T ST NW BLOCK SOUTH SIDE	DC		811285	9670.0	398055	138634	Parking_Violations_in_August_2012.csv	2012-08-29T11:40:00.000Z
-77.0175812034	38.8935988011	3133824	8807716	False	P012	DISOBEYING OFFICIAL SIGN	0300 C ST NW BLOCK NORTH SIDE	MD		812162	10438.0	398475	136194	Parking_Violations_in_October_2014.csv	2014-10-09T08:35:00.000Z
-77.0203241308	38.932172065	3173871	6551	False	P173	NO PARKING STREET CLEANING	3500 BLOCK WARDER ST NW EAST SIDE	DC	4D	800947	797.0	398238	140476	Parking_Violations_in_June_2015.csv	2015-06-22T13:10:00.000Z
-77.0394522012	38.9007821373	1597851	909508	False	P012	DISOBEYING OFFICIAL SIGN	900 BLOCK 17TH ST NW WEST SIDE	DC	4D	801824	1682.0	396578	136992	Parking_Violations_in_November_2014.csv	2014-11-20T10:50:00.000Z
-76.9848172015	38.9115077503	11920048	9990322	False	P090	IMPROPERLY DISPLAYED TAGS	1900 WEST VIRGINIA AVE NE BLOCK LEF	DC		286520	11988.0	401317	138182	Parking_Violations_in_January_2011.csv	2011-01-29T16:47:00.000Z
-77.0625430633	38.9398051463	2779297	3788075	False	P269	NO STANDING ANYTIME	3000 BLOCK SEDGWICK ST NW NORTH SID	MD	VA	806423	5519.0	394578	141325	Parking_Violations_in_October_2012.csv	2012-10-31T13:05:00.000Z
-77.0241698495	38.8791661951	11055943	7851987	False	P113	FAIL TO DISPLAY CURRENT INSPECTION STICKER	0700 BLOCK WATER ST SW NORTH SIDE	VA	4D	800492	417.0	397903	134592	Parking_Violations_in_July_2010.csv	2010-07-27T19:28:00.000Z
-76.997316455	38.8935910853	8782128	1675698	False	P173	NO PARKING STREET CLEANING	700 BLOCK C ST NE NORTH SIDE	DC	4D	800989	833.0	400233	136193	Parking_Violations_in_April_2014.csv	2014-04-23T10:23:00.000Z
-77.0156917895	38.8983284629	12294500	3382300	False	P386	RELOCATE TOW FEE	400 BLOCK G ST NW SOUTH SIDE	VA	2D	803666	3284.0	398639	136719	Parking_Violations_in_February_2012.csv	2012-01-27T16:29:00.000Z
-77.0543166392	38.921738587	1908255	47616	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2500 BLOCK 28TH ST NW WEST SIDE	PA	4D	801554	1160.0	395290	139319	Parking_Violations_in_June_2015.csv	2015-06-22T11:53:00.000Z
-77.0020429088	38.9046984081	5168552	13026058	False	P012	DISOBEYING OFFICIAL SIGN	1200 BLOCK 3RD ST NE	DC	4D	801076	907.0	399823	137426	Parking_Violations_in_March_2012.csv	2012-03-27T14:35:00.000Z
-77.0020424659	38.8892490619	12811604	1590355	False	P037	PARK OVERTIME AT A METER	100 BLOCK 3RD ST SE WEST SIDE	MD	4D	802410	1942.0	399823	135711	Parking_Violations_in_May_2014.csv	2014-05-13T14:14:00.000Z
-77.0657150216	38.9147062333	3289677	1431426	False	P013	PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY	3200 BLOCK S ST NW NORTH SIDE	DC	UT	811078	9498.0	394301	138539	Parking_Violations_in_June_2014.csv	2014-06-13T16:35:00.000Z
-77.0341867625	38.9551579825	4528995	11934743	False	P014	EMERGENCY NO PARKING	5300 BLOCK COLORADO AV NW NORTH SID	DC	4D	807554	6479.0	397037	143028	Parking_Violations_in_August_2009.csv	2009-08-08T08:29:00.000Z
-77.0400805466	38.9111325193	9706270	11687929	False	P039	PARK AT EXPIRED METER	1800 BLOCK Q ST NW SOUTH SIDE	DC	4D	800862	644.0	396524	138141	Parking_Violations_in_October_2009.csv	2009-10-26T18:23:00.000Z
-77.0449075694	38.9047078112	12308990	5296257	False	P002	STAND OR PARK IN ALLEY	1100 REAR 20TH ST NW EAST SIDE	MD	TK	802734	2115.0	396105	137428	Parking_Violations_in_March_2012.csv	2012-03-28T11:11:00.000Z
-76.9932006282	38.9002120668	6441437	13604090	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	900 BLOCK H ST NE NORTH SIDE	DC	4D	805554	4763.0	400590	136928	Parking_Violations_in_August_2015.csv	2015-08-19T15:45:00.000Z
-77.0219163734	38.8967149636	7751078	5059497	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	0600 BLOCK 7TH ST NW WEST SIDE	DC	4D	810320	8839.0	398099	136540	Parking_Violations_in_March_2012.csv	2012-03-15T16:04:00.000Z
-77.0229555997	38.9021107725	12947869	5602092	False	P039	PARK AT EXPIRED METER	0800 BLOCK K ST NW NORTH SIDE	MD	UT	800084	74.0	398009	137139	Parking_Violations_in_February_2012.csv	2012-01-13T19:04:00.000Z
-77.075870743	38.9555077014	3809125	323249	False	P170	FAILURE TO DISPLAY CURRENT TAGS	3800 BLOCK GARRISON ST NW SOUTH SID	DC	4D	811822	10138.0	393424	143069	Parking_Violations_in_May_2015.csv	2015-05-22T11:56:00.000Z
-77.0354527928	38.9258266025	8588493	4071127	False	P012	DISOBEYING OFFICIAL SIGN	2800 BLOCK 15TH ST NW WEST SIDE	DC	4D	801777	1478.0	396926	139772	Parking_Violations_in_July_2012.csv	2012-07-27T07:18:00.000Z
-77.0175812034	38.8935988011	3062910	13450503	False	P012	DISOBEYING OFFICIAL SIGN	400 C ST NW	MD	TK	812162	10438.0	398475	136194	Parking_Violations_in_July_2015.csv	2015-07-21T09:10:00.000Z
-77.0281574557	38.9376114551	2800532	6607349	False	P170	FAILURE TO DISPLAY CURRENT TAGS	1300 BLOCK QUINCY ST NW SOUTH SIDE	DC	4D	804218	3639.0	397559	141080	Parking_Violations_in_June_2011.csv	2011-06-04T03:07:00.000Z
-76.9961757068	38.8853664053	2595159	7375297	False	P055	NO PARKING ANYTIME	0300 BLOCK 7TH ST SE WEST SIDE	DC	TK	803626	3249.0	400332	135280	Parking_Violations_in_November_2010.csv	2010-11-12T12:45:00.000Z
-77.0307951867	38.9025323617	7400520	499287	False	P161	PARKING ON SNOW EMERGENCY ROUTE WHEN PROHIBITED	1400 BLOCK K ST NW SOUTH SIDE	VA	2D	804051	3438.0	397329	137186	Parking_Violations_in_April_2015.csv	2015-03-06T06:38:00.000Z
-77.0264902944	38.951898986	9111761	3226207	False	P076		1200 BLOCK GALLATIN ST NW SOUTH SID	SC	4D	808474	7251.0	397704	142666	Parking_Violations_in_February_2013.csv	2013-02-01T03:16:00.000Z
-76.992082266	38.9013290329	8863602	12465333	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	1100 BLOCK EYE ST NE SOUTH SIDE	PA	2D	810427	8937.0	400687	137052	Parking_Violations_in_March_2009.csv	2009-03-06T19:48:00.000Z
-77.0209165546	38.9072459166	2845262	12608296	False	P039	PARK AT EXPIRED METER	0700 BLOCK N ST NW NORTH SIDE	DC	4D	801144	968.0	398186	137709	Parking_Violations_in_February_2009.csv	2009-02-05T09:56:00.000Z
-77.0345768613	38.9031348635	4566903	2872053	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	1100 BLOCK 15TH ST NW EAST SIDE	VA	4D	809769	8344.0	397001	137253	Parking_Violations_in_May_2013.csv	2013-05-08T08:07:00.000Z
-77.0383380211	38.9297983586	12151940	12602226	False	P039	PARK AT EXPIRED METER	1600 BLOCK KENYON ST NW NORTH SIDE	DC	4D	810122	8660.0	396676	140213	Parking_Violations_in_February_2009.csv	2009-02-03T16:43:00.000Z
-77.0270360287	38.9003352527	5457972	9068564	False	P014	EMERGENCY NO PARKING	900 11TH ST NW BLOCK EAST SIDE	VA		816367	14865.0	397655	136942	Parking_Violations_in_October_2013.csv	2013-10-30T11:29:00.000Z
-77.0191040963	38.8984810968	7144835	8744378	False	P039	PARK AT EXPIRED METER	0700 5TH ST NW BLOCK EAST SIDE	DC		279882	13587.0	398343	136736	Parking_Violations_in_February_2015.csv	2015-02-12T19:14:00.000Z
-77.0121296147	38.8980586362	5997639	10719039	False	P039	PARK AT EXPIRED METER	0700 BLOCK NEW JERSEY AVE NW WEST	MD	SU	814453	12455.0	398948	136689	Parking_Violations_in_April_2009.csv	2009-04-14T12:47:00.000Z
-76.9972934351	38.8926812393	13167142	6592355	False	P012	DISOBEYING OFFICIAL SIGN	700 BLOCK MASSACHUSETTS AV NE SOUTH	VA	UT	811253	9640.0	400235	136092	Parking_Violations_in_June_2011.csv	2011-06-02T09:45:00.000Z
-76.9892810302	38.900211773	120370	1092902	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	1300 BLOCK H ST NE NORTH SIDE	MD	4D	800027	26.0	400930	136928	Parking_Violations_in_September_2014.csv	2014-09-09T17:36:00.000Z
-77.0477618339	38.8973648659	8246870	702388	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	2100 BLOCK F ST NW NORTH SIDE	DC	2D	807656	6569.0	395857	136613	Parking_Violations_in_January_2015.csv	2015-01-14T10:40:00.000Z
-77.0156797804	38.8961394318	956947	21447	False	P055	NO PARKING ANYTIME	400 BLOCK E ST NW SOUTH SIDE	MD	TK	814854	12804.0	398640	136476	Parking_Violations_in_June_2015.csv	2015-06-19T11:41:00.000Z
-77.0219163734	38.8967149636	7269761	11377945	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	500 7TH ST NW	DC	PU	810320	8839.0	398099	136540	Parking_Violations_in_July_2009.csv	2009-07-28T12:14:00.000Z
-77.0022501142	38.8946991239	2963622	118965	False	P039	PARK AT EXPIRED METER	300 BLOCK MASSACHUSETTS AVE NE SOUT	MD	VA	805012	4325.0	399805	136316	Parking_Violations_in_May_2015.csv	2015-05-28T10:32:00.000Z
-76.9984458616	38.9053109837	10165362	2249675	False	P076		1200 BLOCK 6TH ST NE WEST SIDE	MD		810080	8624.0	400135	137494	Parking_Violations_in_October_2013.csv	2013-10-10T04:56:00.000Z
-77.0468992828	38.900455084	11066500	9294610	False	P170	FAILURE TO DISPLAY CURRENT TAGS	2100 EYE ST NW BLOCK NORTH SIDE	MD		291167	11728.0	395932	136956	Parking_Violations_in_April_2013.csv	2013-04-23T19:24:00.000Z
