accidentindicator	address_id	agencyid	fineamt	location	objectid	penalty1	penalty2	row_	streetsegid	ticketissuedate	tickettype	totalpaid	violationcode	violationdesc	xcoord	y	ycoord	filename	﻿x
False		25.0	50.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	198244			214296	14746.0	2009-04-10T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_April_2009.csv	-76.994976553
False		25.0	100.0	DC295 NE AT BENNING RD EXIT N/B	4002218			4079978	5134.0	2015-10-19T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	404307.5	38.8971950819	136594.24	Moving_Violations_in_October_2015.csv	-76.9503465327
False		25.0	50.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	167799			131648	6364.0	2009-03-03T00:00:00.000Z	Photo	50.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_March_2009.csv	-77.0140367592
False	809209.0	25.0	100.0	1600 BLK MINNESOTA AVE SE SW/B	3503919			3330892	7882.0	2014-11-13T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401585.1	38.8679892832	133351.16	Moving_Violations_in_November_2014.csv	-76.9817371356
False		25.0		DC295 SW .7 MILES S/O EXIT 1 S/B	864496			1722918	6993.0	2011-11-24T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398406.31	38.8174155704	127737.13	Moving_Violations_in_November_2011.csv	-77.018353403
False	800638.0	25.0	100.0	1900 BLK BRANCH AVE SE N/B	1085269	100.0		2797411	675.0	2012-11-17T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	403477.897953	38.8668720932	133227.748409	Moving_Violations_in_November_2012.csv	-76.9599270048
False	815777.0	25.0	150.0	1400 BLK S CAPITOL ST SW S/B	756866	150.0		3644559	13794.0	2015-05-18T00:00:00.000Z	Photo	0.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	399211.6	38.8725120372	133853.1	Moving_Violations_in_May_2015.csv	-77.00908761
False	310966.0	13.0	25.0	1300 F ST NW	3013405			1283163	8037.0	2010-08-23T00:00:00.000Z	Moving	25.0	T183	TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED	397384.26	38.8970629219	136578.83	Moving_Violations_in_August_2010.csv	-77.0301558036
False		25.0	125.0	3RD ST TUNNEL NW N/B AT MA AVE EXIT	1153555			1511174	6364.0	2010-12-23T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398782.5209	38.895624628	136418.8295	Moving_Violations_in_December_2010.csv	-77.0140367592
False		25.0	100.0	SUITLAND PKWY W/B @ STANTON RD SE	1474157			3275102	3557.0	2014-09-17T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	401449.3426	38.8533051238	131721.086	Moving_Violations_in_September_2014.csv	-76.9833049061
False		25.0	125.0	SE/SW FRWY @ 9TH ST ENTRANCE SE E/B	265965			1454882	14746.0	2010-11-18T00:00:00.000Z	Photo	125.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	400436.0807	38.8787915207	134550.1426	Moving_Violations_in_November_2010.csv	-76.994976553
False		25.0		I395 SW AFTER EXIT 4 E/B	2790882			2159201	4607.0	2012-05-11T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	397034.8	38.878982807	134571.92	Moving_Violations_in_May_2012.csv	-77.034175619
False	258561.0	4.0	50.0	4300 16TH ST NW	916364	50.0		101448	12553.0	2009-02-18T00:00:00.000Z	Moving	100.0	T713	SEAT BELT REGULATION VIOLATION	396814.15	38.9432051108	141701.21	Moving_Violations_in_February_2009.csv	-77.0367516457
False	50762.0	16.0	25.0	2200 MARTIN LUTHER KING JR AVE SE *	383979			3380185	13028.0	2014-12-23T00:00:00.000Z	No Ticket Type	25.0	T138	FAIL TO COMPLETE OR MAINTAIN A MANIFEST	400903.89	38.8647592896	132992.5	Moving_Violations_in_December_2014.csv	-76.9895872063
False	288753.0	25.0	150.0	600 BLK NEW YORK AVENUE NE W/B	2447048			1906580	14658.0	2012-02-06T00:00:00.000Z	Photo	150.0	T120	SPEED 16-20 MPH OVER THE SPEED LIMIT	400381.05	38.9123322866	138273.43	Moving_Violations_in_February_2012.csv	-76.995608706
False	146162.0	25.0	100.0	100 BLK MICHIGAN AVE NE E/B	3329857			3044795	2623.0	2014-04-28T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	399463.27	38.9274435844	139950.92	Moving_Violations_in_April_2014.csv	-77.0061921948
False		25.0	50.0	3RD ST TUNNEL NW S/B AT 3RD ST EXIT	614715	50.0		650395	5435.0	2009-10-19T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398763.9982	38.8987694772	136767.9356	Moving_Violations_in_October_2009.csv	-77.0142509077
False		25.0	100.0	DC295 SW .3 MILES S/O EXIT 1 N/B	458971			4293761	14688.0	2015-11-26T00:00:00.000Z	Photo	100.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398502.31	38.8206668992	128098.0299	Moving_Violations_in_November_2015.csv	-77.0172487613
False		25.0	100.0	DC295 NE .1MILE S/O EASTERN AVE S/B	3049588			4209875	5134.0	2015-12-18T00:00:00.000Z	Photo	0.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	405635.9275	38.911335447	138164.7691	Moving_Violations_in_December_2015.csv	-76.9350198805
False		25.0	100.0	DC295 SW .3 MILES S/O EXIT 1 N/B	1404997	100.0		2856172	14688.0	2012-12-08T00:00:00.000Z	Photo	200.0	T119	SPEED 11-15 MPH OVER THE SPEED LIMIT	398502.31	38.8206668992	128098.0299	Moving_Violations_in_December_2012.csv	-77.0172487613
False	904652.0	25.0	50.0	10TH ST N/B @ GIRARD ST NE	3534399	50.0		3910526	4723.0	2015-08-23T00:00:00.000Z	Photo	0.0	T128	PASSING STOP SIGN WITHOUT COMING TO A FULL STOP	400655.999999	38.9265092517	139847.210015	Moving_Violations_in_August_2015.csv	-76.9924369777
False	807208.0	25.0	150.0	NEW YORK W/B @ FLORIDA NE	3124435			2708990	6179.0	2012-10-14T00:00:00.000Z	Photo	0.0	T113	FAIL TO STOP PER REGULATIONS FACING RED SIGNAL	399601.6531	38.9089048798	137892.9606	Moving_Violations_in_October_2012.csv	-77.0045950782
