x	y	objectid	rowid_	holiday	violation_code	violation_description	location	rp_plate_state	body_style	address_id	streetsegid	xcoord	ycoord	filename	ticket_issue_datetime
-76.94919503979999	38.903489269299996	11033050	4807387	False	P344	VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT	3744 REAR HAYES ST NE NORTH SIDE	DC	VA	295317	2570.0	404407	137293	Parking_Violations_in_April_2012.csv	2012-04-10T18:17:00.000Z
-77.03401635849998	38.912368585100005	4666253	2002679	False	P003	RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT	FRONT OF 1436 R ST NW SOUTH SIDE	MD	4D	240207	3876.0	397050	138278	Parking_Violations_in_April_2014.csv	2014-04-22T20:07:00.000Z
-77.0656716038	38.9051213771	6914219	6223803	False	P170	FAILURE TO DISPLAY CURRENT TAGS	3200 BLOCK M ST NW NORTH SIDE	CA	2D	801283	1260.0	394304	137475	Parking_Violations_in_August_2011.csv	2011-08-25T20:40:00.000Z
-77.0284992057	38.898055789299995	4967511	14011786	False	P281	FAIL TO DISPLAY A MULTISPACE METER RECEIPT	1200 G ST NW NORTH SIDE	MD	SU	278917	10322.0	397528	136689	Parking_Violations_in_November_2015.csv	2015-11-09T20:04:00.000Z
-77.039672557	38.9031512608	4128926	694527	False	P259	NO STOPPING OR STANDING IN PM RUSH HOUR ZONE	1100 BLOCK CONNECTICUT AVE NW WEST	DC	UT	804979	4297.0	396559	137255	Parking_Violations_in_December_2014.csv	2014-12-30T16:24:00.000Z
-77.02205466409998	38.9338653128	3355477	10380614	False	P055	NO PARKING ANYTIME	3500 BLOCK 6TH ST, NW EAST SIDE	MD	4D	808038	6886.0	398088	140664	Parking_Violations_in_August_2009.csv	2009-08-21T09:50:00.000Z
-77.0441515487	38.912608419899996	11181555	10560097	False	P173	NO PARKING STREET CLEANING	2000 BLOCK R ST, NW SOUTH SIDE	DC	4D	806127	5257.0	396171	138305	Parking_Violations_in_July_2009.csv	2009-07-02T10:43:00.000Z
-76.9973167383	38.886051074099996	8124849	12867755	False	P269	NO STANDING ANYTIME	663 C ST SE	DC	2D	810257	8784.0	400233	135356	Parking_Violations_in_December_2014.csv	2014-12-07T14:42:00.000Z
-76.99497748569999	38.8787542025	12646940	7864063	False	P280	EXPIRATION TIME ON METER RECEIPT LAPSED	0900 BLOCK 8TH ST SE WEST SIDE	VA	4D	803126	2552.0	400436	134546	Parking_Violations_in_October_2010.csv	2010-10-13T12:37:00.000Z
-76.970578008	38.8545720245	13108262	12918055	False	P316	IMPROPER DISPLAY OF TAGS	2900 KNOX PL SE	MD	4D	813189	11337.0	402554	131862	Parking_Violations_in_March_2014.csv	2014-03-19T04:20:00.000Z
-77.02808460279999	38.8990738348	6128956	14114901	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	700 BLOCK 12TH ST NW EAST SIDE	MD	4D	803019	2509.0	397564	136802	Parking_Violations_in_December_2015.csv	2015-12-03T07:10:00.000Z
-77.0501448775	38.892805632199995	2152733	4665762	False	P039	PARK AT EXPIRED METER	0300 BLOCK 23RD ST NW WEST SIDE	VA	4D	813466	11587.0	395650	136107	Parking_Violations_in_May_2012.csv	2012-05-02T12:31:00.000Z
-77.01192135699999	38.893536457399996	1301534	3779938	False	P159	NO STOPPING OR STANDING IN AM RUSH HOUR ZONE	UNIT BLOCK C ST NW SOUTH SIDE	VA	4D	804697	4048.0	398966	136187	Parking_Violations_in_October_2012.csv	2012-10-11T08:59:00.000Z
